Controller ID	Power Box ID	Power box color	Exists?	
25-1	88-0	White		
26-1	26-0			
27-1	109-0			
30-1	31-0	Crows Nest		
33-1	31-0	Crows Nest		
36-1	36.5-0	Crows Nest		
43-1	42-0	Crows Nest		
45-1	47-0	White		
50-1	47-0	White		
52-1	75-0			
56-1	58-0	White		
69-1	82-0	White		
70-1	82-0	White		
75-1	75-0			
80-1	97-0			
81-1	81-0			
83-1	83-0			
84-1	86-0	White		
85-1	83-0			
86-1	86-0	White		
88-1	88-0	White		
90-1	47-0	White		
92-1	81-0			
93-1	93-0			
93-2	93-0			
96-1	58-0	White		
97-1	97-0			
99-1	101-0	White		
100-1	100-0			
100-2	100-0			
101-1	101-0	White		
102-1	26-0			
109-1	109-0			
109-2	109-0			
116-1	116-0			
117-1	117-0			
119-1	88-0	White		
122-1	82-0	White		
124-1	117-0			
125-1	125-0			
126-1	125-0			
129-1	91-0			